sby-limotelu,anon-techsaviours.org,232.250000,1702039542354.498291,1702039542122.248291,520.600098,645
deffer-dns.au,anon-cs-nc,292.950195,1702039542414.621338,1702039542121.671143,520.600098,585
plan9dns-nj,anon-cs-dus1,224.750000,1702039542415.586426,1702039542190.836426,520.600098,585
deffer-dns.au,anon-cs-nc,292.950195,1702039542414.552979,1702039542121.602783,520.600098,586
dnscry.pt-miami-ipv4,anon-cs-sea,230.200195,1702039542416.611328,1702039542186.411133,520.600098,584
wevpn-singapore,anon-cs-ireland,225.500000,1702039542415.848389,1702039542190.348389,520.600098,585
faelix-ch-ipv4,anon-serbica,239.700195,1702039542388.709473,1702039542149.009277,520.600098,613
plan9dns-nj,anon-kama,227.900146,1702039542416.261963,1702039542188.361816,520.600098,586
deffer-dns.au,anon-cs-nyc1,280.600098,1702039542388.945068,1702039542108.344971,520.600098,613
plan9dns-nj,anon-saldns02-conoha-ipv4,224.800049,1702039542415.675537,1702039542190.875488,520.600098,588
dnscry.pt-philadelphia-ipv4,anon-inconnu,232.750000,1702039542417.018066,1702039542184.268066,520.600098,592
plan9dns-nj,anon-cs-ireland,223.000000,1702039542415.487061,1702039542192.487061,520.600098,593
dct-at1,anon-cs-madrid,256.200195,1702039542393.718994,1702039542137.518799,520.600098,615
dct-at1,anon-cs-ireland,255.900146,1702039542393.184814,1702039542137.284668,520.600098,616
dct-at1,anon-serbica,264.100098,1702039542395.654053,1702039542131.553955,520.600098,614
dnscrypt.ca-2,anon-inconnu,347.550049,1702039542358.936523,1702039542011.386475,520.600098,651
plan9dns-nj,anon-scaleway,219.600098,1702039542414.930908,1702039542195.330811,520.600098,596
plan9dns-fl,anon-cs-tokyo,212.000000,1702039542413.645020,1702039542201.645020,520.600098,598
saldns01-conoha-ipv4,anon-kama,225.650146,1702039542415.958008,1702039542190.307861,520.600098,598
sth-dnscrypt-se,anon-cs-pt,220.000000,1702039542415.010254,1702039542195.010254,520.600098,599
